Search terms report
"December 16, 2024 - December 22, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
influencer marketing in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digipharma pcionline co in,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for pharmaceutical companies,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
expedient healthcare marketing private limited,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing health care,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,1,1,100.00%,INR,86.20,86.20,Search,0.00%,0.00,0.00
healthcare digital marketing companies,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
video marketing for doctors,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dr digital marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency for hospitals,Exact match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agencies in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,3,33.33%,INR,122.26,122.26,Search,0.00%,0.00,0.00
digital marketing for doctors in india,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing pdf,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for hospitals in india,Exact match,Added,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,5,16,31.25%,INR,75.66,378.30,Search,20.00%,1.00,378.30
digital marketing for dental clinic,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,11,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
practise buzz,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
clinical research company in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
india's top digital marketing company,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agencies,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,2,2,100.00%,INR,244.91,489.81,Search,0.00%,0.00,0.00
white coats digital marketing,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,1,1,100.00%,INR,90.09,90.09,Search,0.00%,0.00,0.00
dentist website seo,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to promote dental clinic in india,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for dentists,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,4,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
hire digital marketing expert india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
marketing strategy for hospitals in india,Phrase match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,2,3,66.67%,INR,22.95,45.90,Search,0.00%,0.00,0.00
healthcare advertising agency in mumbai,Exact match (close variant),None,Doctor SEO Campaign Mumbai,healthcare digital marketing agency,0,8,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency for healthcare,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,1,3,33.33%,INR,403.20,403.20,Search,0.00%,0.00,0.00
entrepot media the best digital marketing company in kolkata for doctors clinic health care college seo company,Phrase match,None,Doctor SEO Campaign - Bangalore,seo for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
smm services in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
lab ki marketing kaise kare,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare business in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to advertise a hospital,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency for healthcare,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing india price,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
best medical software in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
levo healthcare,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
smma agency in india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
how to start pharma marketing business in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing company in surat,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing agency in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,1,100.00%,INR,76.00,76.00,Search,0.00%,0.00,0.00
india's best online marketing company,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,1,1,100.00%,INR,81.89,81.89,Search,0.00%,0.00,0.00
digital marketing trends in healthcare,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for hospitals,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing agency india,Phrase match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing services in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,5,12,41.67%,INR,22.44,112.20,Search,0.00%,0.00,0.00
email marketing services india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental clinic digital marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare marketing in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pharmaceutical marketing in india,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing companies india,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing company mumbai,Broad match,None,Doctor SEO Campaign Mumbai,digital marketing for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
health care marketing agencies,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,1,1,100.00%,INR,58.96,58.96,Search,0.00%,0.00,0.00
dental social media campaigns,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,3,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
dental digital marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
k p digital,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,2,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
pathology lab marketing,Broad match,None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for doctors india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
digital marketing for healthcare providers,Exact match (close variant),None,Doctor SEO Campaign Mumbai,digital marketing for hospitals in india,2,1,200.00%,INR,245.04,490.08,Search,0.00%,0.00,0.00
healthcare marketing service,Exact match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",healthcare digital marketing company,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
medkeon healthcare website design & digital marketing agency delhi ncr,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing agency for doctors,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
social media marketing india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,4,25.00%,INR,5.62,5.62,Search,0.00%,0.00,0.00
how to make hospital advertisement video,Phrase match (close variant),None,Doctor SEO Campaign Hyderabad,digital marketing for hospitals in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
healthcare digital marketing company,Exact match (close variant),None,Doctor SEO Campaign - Bangalore,DM for doctors,3,63,4.76%,INR,5.24,15.73,Search,0.00%,0.00,0.00
dental seo,Phrase match (close variant),None,"Doctor SEO campaign - Delhi, New Delhi",digital marketing for dentist,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
top performance marketing agencies in india,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,1,2,50.00%,INR,143.30,143.30,Search,0.00%,0.00,0.00
multiplier ai hyderabad,Broad match,None,Doctor SEO Campaign Hyderabad,digital marketing for doctors in india,0,1,0.00%,INR,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,237,"2,114",11.21%,INR,79.57,18859.19,,3.80%,9.00,2095.47
Total: Other search terms,,,,,228,0, --,INR,0,34897.65,, --,16.00,0
Total: Account,,,,,467,"4,093",11.41%,INR,115.88,54117.86,,5.35%,25.00,2164.71
Total: Search,,,,,467,"4,093",11.41%,INR,115.88,54117.86,Search,5.35%,25.00,2164.71
